model,scenario,measure,condition,run,rating
claude-haiku-4-5-20251001,chairman,intentionality,harm,1,6
claude-haiku-4-5-20251001,chairman,intentionality,harm,2,6
claude-haiku-4-5-20251001,chairman,intentionality,harm,3,6
claude-haiku-4-5-20251001,chairman,intentionality,harm,4,6
claude-haiku-4-5-20251001,chairman,intentionality,harm,5,6
claude-haiku-4-5-20251001,chairman,intentionality,harm,6,6
claude-haiku-4-5-20251001,chairman,intentionality,harm,7,6
claude-haiku-4-5-20251001,chairman,intentionality,harm,8,6
claude-haiku-4-5-20251001,chairman,intentionality,harm,9,6
claude-haiku-4-5-20251001,chairman,intentionality,harm,10,6
claude-haiku-4-5-20251001,chairman,intentionality,harm,11,6
claude-haiku-4-5-20251001,chairman,intentionality,harm,12,6
claude-haiku-4-5-20251001,chairman,intentionality,harm,13,6
claude-haiku-4-5-20251001,chairman,intentionality,harm,14,6
claude-haiku-4-5-20251001,chairman,intentionality,harm,15,6
claude-haiku-4-5-20251001,chairman,intentionality,harm,16,6
claude-haiku-4-5-20251001,chairman,intentionality,harm,17,6
claude-haiku-4-5-20251001,chairman,intentionality,harm,18,6
claude-haiku-4-5-20251001,chairman,intentionality,harm,19,6
claude-haiku-4-5-20251001,chairman,intentionality,harm,20,6
claude-haiku-4-5-20251001,chairman,intentionality,harm,21,6
claude-haiku-4-5-20251001,chairman,intentionality,harm,22,6
claude-haiku-4-5-20251001,chairman,intentionality,harm,23,6
claude-haiku-4-5-20251001,chairman,intentionality,harm,24,6
claude-haiku-4-5-20251001,chairman,intentionality,harm,25,6
claude-haiku-4-5-20251001,chairman,intentionality,harm,26,6
claude-haiku-4-5-20251001,chairman,intentionality,harm,27,6
claude-haiku-4-5-20251001,chairman,intentionality,harm,28,6
claude-haiku-4-5-20251001,chairman,intentionality,harm,29,6
claude-haiku-4-5-20251001,chairman,intentionality,harm,30,6
claude-haiku-4-5-20251001,chairman,intentionality,help,1,1
claude-haiku-4-5-20251001,chairman,intentionality,help,2,2
claude-haiku-4-5-20251001,chairman,intentionality,help,3,1
claude-haiku-4-5-20251001,chairman,intentionality,help,4,1
claude-haiku-4-5-20251001,chairman,intentionality,help,5,1
claude-haiku-4-5-20251001,chairman,intentionality,help,6,1
claude-haiku-4-5-20251001,chairman,intentionality,help,7,1
claude-haiku-4-5-20251001,chairman,intentionality,help,8,2
claude-haiku-4-5-20251001,chairman,intentionality,help,9,1
claude-haiku-4-5-20251001,chairman,intentionality,help,10,1
claude-haiku-4-5-20251001,chairman,intentionality,help,11,1
claude-haiku-4-5-20251001,chairman,intentionality,help,12,1
claude-haiku-4-5-20251001,chairman,intentionality,help,13,1
claude-haiku-4-5-20251001,chairman,intentionality,help,14,1
claude-haiku-4-5-20251001,chairman,intentionality,help,15,1
claude-haiku-4-5-20251001,chairman,intentionality,help,16,1
claude-haiku-4-5-20251001,chairman,intentionality,help,17,1
claude-haiku-4-5-20251001,chairman,intentionality,help,18,2
claude-haiku-4-5-20251001,chairman,intentionality,help,19,1
claude-haiku-4-5-20251001,chairman,intentionality,help,20,1
claude-haiku-4-5-20251001,chairman,intentionality,help,21,2
claude-haiku-4-5-20251001,chairman,intentionality,help,22,1
claude-haiku-4-5-20251001,chairman,intentionality,help,23,2
claude-haiku-4-5-20251001,chairman,intentionality,help,24,1
