model,measure,condition,run,rating
claude-haiku-4-5-20251001,intentionality,harm,1,7
claude-haiku-4-5-20251001,intentionality,harm,2,7
claude-haiku-4-5-20251001,intentionality,harm,3,7
claude-haiku-4-5-20251001,intentionality,harm,4,7
claude-haiku-4-5-20251001,intentionality,harm,5,7
claude-haiku-4-5-20251001,intentionality,harm,6,7
claude-haiku-4-5-20251001,intentionality,harm,7,7
claude-haiku-4-5-20251001,intentionality,harm,8,6
claude-haiku-4-5-20251001,intentionality,harm,9,7
claude-haiku-4-5-20251001,intentionality,harm,10,7
claude-haiku-4-5-20251001,intentionality,harm,11,7
claude-haiku-4-5-20251001,intentionality,harm,12,7
claude-haiku-4-5-20251001,intentionality,harm,13,7
claude-haiku-4-5-20251001,intentionality,harm,14,6
claude-haiku-4-5-20251001,intentionality,harm,15,7
claude-haiku-4-5-20251001,intentionality,harm,16,7
claude-haiku-4-5-20251001,intentionality,harm,17,7
claude-haiku-4-5-20251001,intentionality,harm,18,6
claude-haiku-4-5-20251001,intentionality,harm,19,6
claude-haiku-4-5-20251001,intentionality,harm,20,7
claude-haiku-4-5-20251001,intentionality,harm,21,7
claude-haiku-4-5-20251001,intentionality,harm,22,6
claude-haiku-4-5-20251001,intentionality,harm,23,6
claude-haiku-4-5-20251001,intentionality,harm,24,6
claude-haiku-4-5-20251001,intentionality,harm,25,6
claude-haiku-4-5-20251001,intentionality,harm,26,7
claude-haiku-4-5-20251001,intentionality,harm,27,6
claude-haiku-4-5-20251001,intentionality,harm,28,7
claude-haiku-4-5-20251001,intentionality,harm,29,7
claude-haiku-4-5-20251001,intentionality,harm,30,7
claude-haiku-4-5-20251001,intentionality,help,1,1
claude-haiku-4-5-20251001,intentionality,help,2,1
claude-haiku-4-5-20251001,intentionality,help,3,1
claude-haiku-4-5-20251001,intentionality,help,4,1
claude-haiku-4-5-20251001,intentionality,help,5,1
claude-haiku-4-5-20251001,intentionality,help,6,1
claude-haiku-4-5-20251001,intentionality,help,7,1
claude-haiku-4-5-20251001,intentionality,help,8,1
claude-haiku-4-5-20251001,intentionality,help,9,1
claude-haiku-4-5-20251001,intentionality,help,10,1
claude-haiku-4-5-20251001,intentionality,help,11,1
claude-haiku-4-5-20251001,intentionality,help,12,1
claude-haiku-4-5-20251001,intentionality,help,13,1
claude-haiku-4-5-20251001,intentionality,help,14,1
claude-haiku-4-5-20251001,intentionality,help,15,1
claude-haiku-4-5-20251001,intentionality,help,16,1
claude-haiku-4-5-20251001,intentionality,help,17,1
claude-haiku-4-5-20251001,intentionality,help,18,1
claude-haiku-4-5-20251001,intentionality,help,19,1
claude-haiku-4-5-20251001,intentionality,help,20,1
claude-haiku-4-5-20251001,intentionality,help,21,1
claude-haiku-4-5-20251001,intentionality,help,22,1
claude-haiku-4-5-20251001,intentionality,help,23,1
claude-haiku-4-5-20251001,intentionality,help,24,1
claude-haiku-4-5-20251001,intentionality,help,25,1
claude-haiku-4-5-20251001,intentionality,help,26,1
claude-haiku-4-5-20251001,intentionality,help,27,1
claude-haiku-4-5-20251001,intentionality,help,28,1
claude-haiku-4-5-20251001,intentionality,help,29,1
claude-haiku-4-5-20251001,intentionality,help,30,1
claude-haiku-4-5-20251001,blame,harm,1,6
claude-haiku-4-5-20251001,blame,harm,2,7
claude-haiku-4-5-20251001,blame,harm,3,7
claude-haiku-4-5-20251001,blame,harm,4,7
claude-haiku-4-5-20251001,blame,harm,5,7
claude-haiku-4-5-20251001,blame,harm,6,6
claude-haiku-4-5-20251001,blame,harm,7,7
claude-haiku-4-5-20251001,blame,harm,8,6
claude-haiku-4-5-20251001,blame,harm,9,7
claude-haiku-4-5-20251001,blame,harm,10,7
claude-haiku-4-5-20251001,blame,harm,11,7
