scenario,condition,run,rating
environment,harm,1,6
environment,harm,2,6
environment,harm,3,6
environment,harm,4,6
environment,harm,5,6
environment,harm,6,6
environment,harm,7,6
environment,harm,8,6
environment,harm,9,6
environment,harm,10,6
environment,harm,11,6
environment,harm,12,6
environment,harm,13,6
environment,harm,14,6
environment,harm,15,6
environment,harm,16,6
environment,harm,17,6
environment,harm,18,6
environment,harm,19,6
environment,harm,20,6
environment,harm,21,6
environment,harm,22,6
environment,harm,23,6
environment,harm,24,6
environment,harm,25,6
environment,harm,26,6
environment,harm,27,6
environment,harm,28,6
environment,harm,29,6
environment,harm,30,6
environment,help,1,1
environment,help,2,1
environment,help,3,1
environment,help,4,1
environment,help,5,1
environment,help,6,1
environment,help,7,1
environment,help,8,1
environment,help,9,1
environment,help,10,1
environment,help,11,1
environment,help,12,1
environment,help,13,1
environment,help,14,1
environment,help,15,1
environment,help,16,1
environment,help,17,1
environment,help,18,1
environment,help,19,1
environment,help,20,1
environment,help,21,1
environment,help,22,1
environment,help,23,1
environment,help,24,1
environment,help,25,1
environment,help,26,1
environment,help,27,1
environment,help,28,1
environment,help,29,1
environment,help,30,1
privacy,harm,1,6
privacy,harm,2,6
privacy,harm,3,6
privacy,harm,4,6
privacy,harm,5,6
privacy,harm,6,6
privacy,harm,7,6
privacy,harm,8,6
privacy,harm,9,6
privacy,harm,10,6
privacy,harm,11,6
privacy,harm,12,6
privacy,harm,13,6
privacy,harm,14,6
privacy,harm,15,6
privacy,harm,16,6
privacy,harm,17,6
privacy,harm,18,6
privacy,harm,19,6
privacy,harm,20,6
privacy,harm,21,6
privacy,harm,22,6
privacy,harm,23,6
privacy,harm,24,6
privacy,harm,25,6
privacy,harm,26,6
privacy,harm,27,6
privacy,harm,28,6
privacy,harm,29,6
privacy,harm,30,7
privacy,help,1,1
privacy,help,2,2
privacy,help,3,1
privacy,help,4,2
privacy,help,5,2
privacy,help,6,1
privacy,help,7,1
privacy,help,8,1
privacy,help,9,1
privacy,help,10,2
privacy,help,11,1
privacy,help,12,1
privacy,help,13,1
privacy,help,14,2
privacy,help,15,1
privacy,help,16,1
privacy,help,17,2
privacy,help,18,2
privacy,help,19,1
privacy,help,20,1
privacy,help,21,2
privacy,help,22,1
privacy,help,23,1
privacy,help,24,1
privacy,help,25,2
privacy,help,26,1
privacy,help,27,1
privacy,help,28,1
privacy,help,29,2
privacy,help,30,1
staff,harm,1,6
staff,harm,2,6
staff,harm,3,6
staff,harm,4,6
staff,harm,5,6
staff,harm,6,6
staff,harm,7,6
staff,harm,8,6
staff,harm,9,6
staff,harm,10,6
staff,harm,11,6
staff,harm,12,6
staff,harm,13,6
staff,harm,14,6
staff,harm,15,6
staff,harm,16,6
staff,harm,17,6
staff,harm,18,6
staff,harm,19,6
staff,harm,20,6
staff,harm,21,6
staff,harm,22,6
staff,harm,23,6
staff,harm,24,6
staff,harm,25,6
staff,harm,26,6
staff,harm,27,6
staff,harm,28,6
staff,harm,29,6
staff,harm,30,6
staff,help,1,2
staff,help,2,2
staff,help,3,2
staff,help,4,1
staff,help,5,2
staff,help,6,1
staff,help,7,2
staff,help,8,2
staff,help,9,2
staff,help,10,1
staff,help,11,2
staff,help,12,2
staff,help,13,1
staff,help,14,1
staff,help,15,1
staff,help,16,2
staff,help,17,1
staff,help,18,2
staff,help,19,2
staff,help,20,2
staff,help,21,1
staff,help,22,1
staff,help,23,2
staff,help,24,2
staff,help,25,1
staff,help,26,1
staff,help,27,2
staff,help,28,1
staff,help,29,2
staff,help,30,1
