condition,run,rating
harm,1,6
harm,2,6
harm,3,6
harm,4,6
harm,5,6
harm,6,6
harm,7,6
harm,8,6
harm,9,6
harm,10,6
harm,11,6
harm,12,6
harm,13,6
harm,14,6
harm,15,6
harm,16,6
harm,17,6
harm,18,6
harm,19,6
harm,20,6
harm,21,6
harm,22,6
harm,23,6
harm,24,6
harm,25,6
harm,26,6
harm,27,6
harm,28,6
harm,29,6
harm,30,6
help,1,1
help,2,1
help,3,1
help,4,1
help,5,1
help,6,1
help,7,1
help,8,1
help,9,1
help,10,1
help,11,1
help,12,1
help,13,1
help,14,1
help,15,1
help,16,1
help,17,1
help,18,1
help,19,1
help,20,1
help,21,1
help,22,1
help,23,1
help,24,1
help,25,1
help,26,1
help,27,1
help,28,1
help,29,1
help,30,1
