model,scenario,framing,run,rating
claude-haiku-4-5-20251001,wallet,bad,1,2
claude-haiku-4-5-20251001,wallet,bad,2,1
claude-haiku-4-5-20251001,wallet,bad,3,6
claude-haiku-4-5-20251001,wallet,bad,4,2
claude-haiku-4-5-20251001,wallet,bad,5,7
claude-haiku-4-5-20251001,wallet,bad,6,2
claude-haiku-4-5-20251001,wallet,bad,7,2
claude-haiku-4-5-20251001,wallet,bad,8,2
claude-haiku-4-5-20251001,wallet,bad,9,6
claude-haiku-4-5-20251001,wallet,bad,10,6
claude-haiku-4-5-20251001,wallet,bad,11,2
claude-haiku-4-5-20251001,wallet,bad,12,2
claude-haiku-4-5-20251001,wallet,bad,13,6
claude-haiku-4-5-20251001,wallet,bad,14,6
claude-haiku-4-5-20251001,wallet,bad,15,2
claude-haiku-4-5-20251001,wallet,bad,16,6
claude-haiku-4-5-20251001,wallet,bad,17,2
claude-haiku-4-5-20251001,wallet,bad,18,2
claude-haiku-4-5-20251001,wallet,bad,19,6
claude-haiku-4-5-20251001,wallet,bad,20,2
claude-haiku-4-5-20251001,wallet,bad_ooc,1,2
claude-haiku-4-5-20251001,wallet,bad_ooc,2,2
claude-haiku-4-5-20251001,wallet,bad_ooc,3,1
claude-haiku-4-5-20251001,wallet,bad_ooc,4,2
claude-haiku-4-5-20251001,wallet,bad_ooc,5,2
claude-haiku-4-5-20251001,wallet,bad_ooc,6,2
claude-haiku-4-5-20251001,wallet,bad_ooc,7,2
claude-haiku-4-5-20251001,wallet,bad_ooc,8,2
claude-haiku-4-5-20251001,wallet,bad_ooc,9,2
claude-haiku-4-5-20251001,wallet,bad_ooc,10,2
claude-haiku-4-5-20251001,wallet,bad_ooc,11,2
claude-haiku-4-5-20251001,wallet,bad_ooc,12,2
claude-haiku-4-5-20251001,wallet,bad_ooc,13,2
claude-haiku-4-5-20251001,wallet,bad_ooc,14,2
claude-haiku-4-5-20251001,wallet,bad_ooc,15,2
claude-haiku-4-5-20251001,wallet,bad_ooc,16,2
claude-haiku-4-5-20251001,wallet,bad_ooc,17,2
claude-haiku-4-5-20251001,wallet,bad_ooc,18,2
claude-haiku-4-5-20251001,wallet,bad_ooc,19,2
claude-haiku-4-5-20251001,wallet,bad_ooc,20,2
claude-haiku-4-5-20251001,colleague,bad,1,6
claude-haiku-4-5-20251001,colleague,bad,2,6
claude-haiku-4-5-20251001,colleague,bad,3,2
claude-haiku-4-5-20251001,colleague,bad,4,1
claude-haiku-4-5-20251001,colleague,bad,5,1
claude-haiku-4-5-20251001,colleague,bad,6,2
claude-haiku-4-5-20251001,colleague,bad,7,1
claude-haiku-4-5-20251001,colleague,bad,8,1
claude-haiku-4-5-20251001,colleague,bad,9,2
claude-haiku-4-5-20251001,colleague,bad,10,1
claude-haiku-4-5-20251001,colleague,bad,11,2
claude-haiku-4-5-20251001,colleague,bad,12,6
claude-haiku-4-5-20251001,colleague,bad,13,6
claude-haiku-4-5-20251001,colleague,bad,14,6
claude-haiku-4-5-20251001,colleague,bad,15,6
claude-haiku-4-5-20251001,colleague,bad,16,1
claude-haiku-4-5-20251001,colleague,bad,17,1
claude-haiku-4-5-20251001,colleague,bad,18,1
claude-haiku-4-5-20251001,colleague,bad,19,6
claude-haiku-4-5-20251001,colleague,bad,20,6
claude-haiku-4-5-20251001,colleague,bad_ooc,1,2
claude-haiku-4-5-20251001,colleague,bad_ooc,2,2
claude-haiku-4-5-20251001,colleague,bad_ooc,3,2
claude-haiku-4-5-20251001,colleague,bad_ooc,4,2
claude-haiku-4-5-20251001,colleague,bad_ooc,5,2
claude-haiku-4-5-20251001,colleague,bad_ooc,6,2
claude-haiku-4-5-20251001,colleague,bad_ooc,7,2
claude-haiku-4-5-20251001,colleague,bad_ooc,8,2
claude-haiku-4-5-20251001,colleague,bad_ooc,9,2
claude-haiku-4-5-20251001,colleague,bad_ooc,10,2
claude-haiku-4-5-20251001,colleague,bad_ooc,11,2
claude-haiku-4-5-20251001,colleague,bad_ooc,12,1
claude-haiku-4-5-20251001,colleague,bad_ooc,13,1
claude-haiku-4-5-20251001,colleague,bad_ooc,14,1
claude-haiku-4-5-20251001,colleague,bad_ooc,15,1
claude-haiku-4-5-20251001,colleague,bad_ooc,16,2
claude-haiku-4-5-20251001,colleague,bad_ooc,17,2
claude-haiku-4-5-20251001,colleague,bad_ooc,18,2
claude-haiku-4-5-20251001,colleague,bad_ooc,19,2
claude-haiku-4-5-20251001,colleague,bad_ooc,20,2
claude-haiku-4-5-20251001,neighbour,bad,1,2
claude-haiku-4-5-20251001,neighbour,bad,2,3
claude-haiku-4-5-20251001,neighbour,bad,3,2
claude-haiku-4-5-20251001,neighbour,bad,4,2
claude-haiku-4-5-20251001,neighbour,bad,5,6
claude-haiku-4-5-20251001,neighbour,bad,6,2
claude-haiku-4-5-20251001,neighbour,bad,7,5
claude-haiku-4-5-20251001,neighbour,bad,8,2
claude-haiku-4-5-20251001,neighbour,bad,9,2
claude-haiku-4-5-20251001,neighbour,bad,10,2
claude-haiku-4-5-20251001,neighbour,bad,11,2
claude-haiku-4-5-20251001,neighbour,bad,12,6
claude-haiku-4-5-20251001,neighbour,bad,13,2
claude-haiku-4-5-20251001,neighbour,bad,14,5
claude-haiku-4-5-20251001,neighbour,bad,15,2
claude-haiku-4-5-20251001,neighbour,bad,16,5
claude-haiku-4-5-20251001,neighbour,bad,17,2
claude-haiku-4-5-20251001,neighbour,bad,18,3
claude-haiku-4-5-20251001,neighbour,bad,19,6
claude-haiku-4-5-20251001,neighbour,bad,20,4
claude-haiku-4-5-20251001,neighbour,bad_ooc,1,2
claude-haiku-4-5-20251001,neighbour,bad_ooc,2,2
claude-haiku-4-5-20251001,neighbour,bad_ooc,3,2
claude-haiku-4-5-20251001,neighbour,bad_ooc,4,2
claude-haiku-4-5-20251001,neighbour,bad_ooc,5,2
claude-haiku-4-5-20251001,neighbour,bad_ooc,6,2
claude-haiku-4-5-20251001,neighbour,bad_ooc,7,2
claude-haiku-4-5-20251001,neighbour,bad_ooc,8,2
claude-haiku-4-5-20251001,neighbour,bad_ooc,9,2
claude-haiku-4-5-20251001,neighbour,bad_ooc,10,2
claude-haiku-4-5-20251001,neighbour,bad_ooc,11,2
claude-haiku-4-5-20251001,neighbour,bad_ooc,12,2
claude-haiku-4-5-20251001,neighbour,bad_ooc,13,2
claude-haiku-4-5-20251001,neighbour,bad_ooc,14,2
claude-haiku-4-5-20251001,neighbour,bad_ooc,15,2
claude-haiku-4-5-20251001,neighbour,bad_ooc,16,2
claude-haiku-4-5-20251001,neighbour,bad_ooc,17,2
claude-haiku-4-5-20251001,neighbour,bad_ooc,18,2
claude-haiku-4-5-20251001,neighbour,bad_ooc,19,2
claude-haiku-4-5-20251001,neighbour,bad_ooc,20,2
claude-sonnet-4-6,wallet,bad,1,6
claude-sonnet-4-6,wallet,bad,2,6
claude-sonnet-4-6,wallet,bad,3,6
claude-sonnet-4-6,wallet,bad,4,6
claude-sonnet-4-6,wallet,bad,5,6
claude-sonnet-4-6,wallet,bad,6,6
claude-sonnet-4-6,wallet,bad,7,6
claude-sonnet-4-6,wallet,bad,8,6
claude-sonnet-4-6,wallet,bad,9,6
claude-sonnet-4-6,wallet,bad,10,6
claude-sonnet-4-6,wallet,bad,11,6
claude-sonnet-4-6,wallet,bad,12,6
claude-sonnet-4-6,wallet,bad,13,6
claude-sonnet-4-6,wallet,bad,14,6
claude-sonnet-4-6,wallet,bad,15,6
claude-sonnet-4-6,wallet,bad,16,6
claude-sonnet-4-6,wallet,bad,17,6
claude-sonnet-4-6,wallet,bad,18,6
claude-sonnet-4-6,wallet,bad,19,6
claude-sonnet-4-6,wallet,bad,20,6
claude-sonnet-4-6,wallet,bad_ooc,1,2
claude-sonnet-4-6,wallet,bad_ooc,2,2
claude-sonnet-4-6,wallet,bad_ooc,3,2
claude-sonnet-4-6,wallet,bad_ooc,4,2
claude-sonnet-4-6,wallet,bad_ooc,5,2
claude-sonnet-4-6,wallet,bad_ooc,6,2
claude-sonnet-4-6,wallet,bad_ooc,7,2
claude-sonnet-4-6,wallet,bad_ooc,8,2
claude-sonnet-4-6,wallet,bad_ooc,9,2
claude-sonnet-4-6,wallet,bad_ooc,10,2
claude-sonnet-4-6,wallet,bad_ooc,11,2
claude-sonnet-4-6,wallet,bad_ooc,12,2
claude-sonnet-4-6,wallet,bad_ooc,13,2
claude-sonnet-4-6,wallet,bad_ooc,14,2
claude-sonnet-4-6,wallet,bad_ooc,15,2
claude-sonnet-4-6,wallet,bad_ooc,16,2
claude-sonnet-4-6,wallet,bad_ooc,17,2
claude-sonnet-4-6,wallet,bad_ooc,18,2
claude-sonnet-4-6,wallet,bad_ooc,19,2
claude-sonnet-4-6,wallet,bad_ooc,20,2
claude-sonnet-4-6,colleague,bad,1,7
claude-sonnet-4-6,colleague,bad,2,7
claude-sonnet-4-6,colleague,bad,3,7
claude-sonnet-4-6,colleague,bad,4,7
claude-sonnet-4-6,colleague,bad,5,7
claude-sonnet-4-6,colleague,bad,6,7
claude-sonnet-4-6,colleague,bad,7,7
claude-sonnet-4-6,colleague,bad,8,7
claude-sonnet-4-6,colleague,bad,9,7
claude-sonnet-4-6,colleague,bad,10,7
claude-sonnet-4-6,colleague,bad,11,7
claude-sonnet-4-6,colleague,bad,12,7
claude-sonnet-4-6,colleague,bad,13,7
claude-sonnet-4-6,colleague,bad,14,7
claude-sonnet-4-6,colleague,bad,15,7
claude-sonnet-4-6,colleague,bad,16,7
claude-sonnet-4-6,colleague,bad,17,7
claude-sonnet-4-6,colleague,bad,18,7
claude-sonnet-4-6,colleague,bad,19,7
claude-sonnet-4-6,colleague,bad,20,7
claude-sonnet-4-6,colleague,bad_ooc,1,2
claude-sonnet-4-6,colleague,bad_ooc,2,2
claude-sonnet-4-6,colleague,bad_ooc,3,2
claude-sonnet-4-6,colleague,bad_ooc,4,2
claude-sonnet-4-6,colleague,bad_ooc,5,2
claude-sonnet-4-6,colleague,bad_ooc,6,2
claude-sonnet-4-6,colleague,bad_ooc,7,2
claude-sonnet-4-6,colleague,bad_ooc,8,2
claude-sonnet-4-6,colleague,bad_ooc,9,2
claude-sonnet-4-6,colleague,bad_ooc,10,2
claude-sonnet-4-6,colleague,bad_ooc,11,2
claude-sonnet-4-6,colleague,bad_ooc,12,2
claude-sonnet-4-6,colleague,bad_ooc,13,2
claude-sonnet-4-6,colleague,bad_ooc,14,2
claude-sonnet-4-6,colleague,bad_ooc,15,2
claude-sonnet-4-6,colleague,bad_ooc,16,2
claude-sonnet-4-6,colleague,bad_ooc,17,2
claude-sonnet-4-6,colleague,bad_ooc,18,2
claude-sonnet-4-6,colleague,bad_ooc,19,2
claude-sonnet-4-6,colleague,bad_ooc,20,2
claude-sonnet-4-6,neighbour,bad,1,6
claude-sonnet-4-6,neighbour,bad,2,6
claude-sonnet-4-6,neighbour,bad,3,6
claude-sonnet-4-6,neighbour,bad,4,6
claude-sonnet-4-6,neighbour,bad,5,6
claude-sonnet-4-6,neighbour,bad,6,6
claude-sonnet-4-6,neighbour,bad,7,6
claude-sonnet-4-6,neighbour,bad,8,6
claude-sonnet-4-6,neighbour,bad,9,6
claude-sonnet-4-6,neighbour,bad,10,6
claude-sonnet-4-6,neighbour,bad,11,6
claude-sonnet-4-6,neighbour,bad,12,6
claude-sonnet-4-6,neighbour,bad,13,6
claude-sonnet-4-6,neighbour,bad,14,6
claude-sonnet-4-6,neighbour,bad,15,6
claude-sonnet-4-6,neighbour,bad,16,6
claude-sonnet-4-6,neighbour,bad,17,6
claude-sonnet-4-6,neighbour,bad,18,6
claude-sonnet-4-6,neighbour,bad,19,6
claude-sonnet-4-6,neighbour,bad,20,6
claude-sonnet-4-6,neighbour,bad_ooc,1,2
claude-sonnet-4-6,neighbour,bad_ooc,2,2
claude-sonnet-4-6,neighbour,bad_ooc,3,2
claude-sonnet-4-6,neighbour,bad_ooc,4,2
claude-sonnet-4-6,neighbour,bad_ooc,5,2
claude-sonnet-4-6,neighbour,bad_ooc,6,2
claude-sonnet-4-6,neighbour,bad_ooc,7,2
claude-sonnet-4-6,neighbour,bad_ooc,8,2
claude-sonnet-4-6,neighbour,bad_ooc,9,2
claude-sonnet-4-6,neighbour,bad_ooc,10,2
claude-sonnet-4-6,neighbour,bad_ooc,11,2
claude-sonnet-4-6,neighbour,bad_ooc,12,2
claude-sonnet-4-6,neighbour,bad_ooc,13,2
claude-sonnet-4-6,neighbour,bad_ooc,14,2
claude-sonnet-4-6,neighbour,bad_ooc,15,2
claude-sonnet-4-6,neighbour,bad_ooc,16,2
claude-sonnet-4-6,neighbour,bad_ooc,17,2
claude-sonnet-4-6,neighbour,bad_ooc,18,2
claude-sonnet-4-6,neighbour,bad_ooc,19,2
claude-sonnet-4-6,neighbour,bad_ooc,20,2
claude-opus-4-8,wallet,bad,1,5
claude-opus-4-8,wallet,bad,2,5
claude-opus-4-8,wallet,bad,3,5
claude-opus-4-8,wallet,bad,4,5
claude-opus-4-8,wallet,bad,5,5
claude-opus-4-8,wallet,bad,6,5
claude-opus-4-8,wallet,bad,7,5
claude-opus-4-8,wallet,bad,8,5
claude-opus-4-8,wallet,bad,9,5
claude-opus-4-8,wallet,bad,10,5
claude-opus-4-8,wallet,bad,11,5
claude-opus-4-8,wallet,bad,12,5
claude-opus-4-8,wallet,bad,13,5
claude-opus-4-8,wallet,bad,14,5
claude-opus-4-8,wallet,bad,15,5
claude-opus-4-8,wallet,bad,16,4
claude-opus-4-8,wallet,bad,17,5
claude-opus-4-8,wallet,bad,18,5
claude-opus-4-8,wallet,bad,19,5
claude-opus-4-8,wallet,bad,20,5
claude-opus-4-8,wallet,bad_ooc,1,2
claude-opus-4-8,wallet,bad_ooc,2,2
claude-opus-4-8,wallet,bad_ooc,3,2
claude-opus-4-8,wallet,bad_ooc,4,2
claude-opus-4-8,wallet,bad_ooc,5,2
claude-opus-4-8,wallet,bad_ooc,6,2
claude-opus-4-8,wallet,bad_ooc,7,2
claude-opus-4-8,wallet,bad_ooc,8,2
claude-opus-4-8,wallet,bad_ooc,9,2
claude-opus-4-8,wallet,bad_ooc,10,2
claude-opus-4-8,wallet,bad_ooc,11,2
claude-opus-4-8,wallet,bad_ooc,12,2
claude-opus-4-8,wallet,bad_ooc,13,2
claude-opus-4-8,wallet,bad_ooc,14,2
claude-opus-4-8,wallet,bad_ooc,15,2
claude-opus-4-8,wallet,bad_ooc,16,2
claude-opus-4-8,wallet,bad_ooc,17,2
claude-opus-4-8,wallet,bad_ooc,18,2
claude-opus-4-8,wallet,bad_ooc,19,2
claude-opus-4-8,wallet,bad_ooc,20,2
claude-opus-4-8,colleague,bad,1,5
claude-opus-4-8,colleague,bad,2,5
claude-opus-4-8,colleague,bad,3,6
claude-opus-4-8,colleague,bad,4,5
claude-opus-4-8,colleague,bad,5,5
claude-opus-4-8,colleague,bad,6,5
claude-opus-4-8,colleague,bad,7,5
claude-opus-4-8,colleague,bad,8,5
claude-opus-4-8,colleague,bad,9,5
claude-opus-4-8,colleague,bad,10,5
claude-opus-4-8,colleague,bad,11,6
claude-opus-4-8,colleague,bad,12,5
claude-opus-4-8,colleague,bad,13,5
claude-opus-4-8,colleague,bad,14,5
claude-opus-4-8,colleague,bad,15,5
claude-opus-4-8,colleague,bad,16,5
claude-opus-4-8,colleague,bad,17,6
claude-opus-4-8,colleague,bad,18,5
claude-opus-4-8,colleague,bad,19,5
claude-opus-4-8,colleague,bad,20,5
claude-opus-4-8,colleague,bad_ooc,1,2
claude-opus-4-8,colleague,bad_ooc,2,2
claude-opus-4-8,colleague,bad_ooc,3,2
claude-opus-4-8,colleague,bad_ooc,4,2
claude-opus-4-8,colleague,bad_ooc,5,2
claude-opus-4-8,colleague,bad_ooc,6,2
claude-opus-4-8,colleague,bad_ooc,7,2
claude-opus-4-8,colleague,bad_ooc,8,2
claude-opus-4-8,colleague,bad_ooc,9,2
claude-opus-4-8,colleague,bad_ooc,10,2
claude-opus-4-8,colleague,bad_ooc,11,2
claude-opus-4-8,colleague,bad_ooc,12,2
claude-opus-4-8,colleague,bad_ooc,13,2
claude-opus-4-8,colleague,bad_ooc,14,2
claude-opus-4-8,colleague,bad_ooc,15,2
claude-opus-4-8,colleague,bad_ooc,16,2
claude-opus-4-8,colleague,bad_ooc,17,2
claude-opus-4-8,colleague,bad_ooc,18,2
claude-opus-4-8,colleague,bad_ooc,19,2
claude-opus-4-8,colleague,bad_ooc,20,2
claude-opus-4-8,neighbour,bad,1,4
claude-opus-4-8,neighbour,bad,2,4
claude-opus-4-8,neighbour,bad,3,4
claude-opus-4-8,neighbour,bad,4,4
claude-opus-4-8,neighbour,bad,5,4
claude-opus-4-8,neighbour,bad,6,4
claude-opus-4-8,neighbour,bad,7,4
claude-opus-4-8,neighbour,bad,8,4
claude-opus-4-8,neighbour,bad,9,4
claude-opus-4-8,neighbour,bad,10,4
claude-opus-4-8,neighbour,bad,11,4
claude-opus-4-8,neighbour,bad,12,4
claude-opus-4-8,neighbour,bad,13,4
claude-opus-4-8,neighbour,bad,14,4
claude-opus-4-8,neighbour,bad,15,4
claude-opus-4-8,neighbour,bad,16,4
claude-opus-4-8,neighbour,bad,17,4
claude-opus-4-8,neighbour,bad,18,4
claude-opus-4-8,neighbour,bad,19,4
claude-opus-4-8,neighbour,bad,20,4
claude-opus-4-8,neighbour,bad_ooc,1,2
claude-opus-4-8,neighbour,bad_ooc,2,2
claude-opus-4-8,neighbour,bad_ooc,3,2
claude-opus-4-8,neighbour,bad_ooc,4,2
