model,scenario,condition,run,rating
claude-haiku-4-5-20251001,wallet,good,1,6
claude-haiku-4-5-20251001,wallet,good,2,6
claude-haiku-4-5-20251001,wallet,good,3,6
claude-haiku-4-5-20251001,wallet,good,4,6
claude-haiku-4-5-20251001,wallet,good,5,6
claude-haiku-4-5-20251001,wallet,good,6,6
claude-haiku-4-5-20251001,wallet,good,7,6
claude-haiku-4-5-20251001,wallet,good,8,6
claude-haiku-4-5-20251001,wallet,good,9,6
claude-haiku-4-5-20251001,wallet,good,10,6
claude-haiku-4-5-20251001,wallet,good,11,6
claude-haiku-4-5-20251001,wallet,good,12,6
claude-haiku-4-5-20251001,wallet,good,13,6
claude-haiku-4-5-20251001,wallet,good,14,6
claude-haiku-4-5-20251001,wallet,good,15,5
claude-haiku-4-5-20251001,wallet,good,16,6
claude-haiku-4-5-20251001,wallet,good,17,6
claude-haiku-4-5-20251001,wallet,good,18,6
claude-haiku-4-5-20251001,wallet,good,19,6
claude-haiku-4-5-20251001,wallet,good,20,6
claude-haiku-4-5-20251001,wallet,good,21,6
claude-haiku-4-5-20251001,wallet,good,22,6
claude-haiku-4-5-20251001,wallet,good,23,6
claude-haiku-4-5-20251001,wallet,good,24,6
claude-haiku-4-5-20251001,wallet,good,25,6
claude-haiku-4-5-20251001,wallet,good,26,6
claude-haiku-4-5-20251001,wallet,good,27,6
claude-haiku-4-5-20251001,wallet,good,28,5
claude-haiku-4-5-20251001,wallet,good,29,6
claude-haiku-4-5-20251001,wallet,good,30,6
claude-haiku-4-5-20251001,wallet,bad,1,1
claude-haiku-4-5-20251001,wallet,bad,2,6
claude-haiku-4-5-20251001,wallet,bad,3,7
claude-haiku-4-5-20251001,wallet,bad,4,2
claude-haiku-4-5-20251001,wallet,bad,5,2
claude-haiku-4-5-20251001,wallet,bad,6,2
claude-haiku-4-5-20251001,wallet,bad,7,6
claude-haiku-4-5-20251001,wallet,bad,8,2
claude-haiku-4-5-20251001,wallet,bad,9,2
claude-haiku-4-5-20251001,wallet,bad,10,2
claude-haiku-4-5-20251001,wallet,bad,11,2
claude-haiku-4-5-20251001,wallet,bad,12,6
claude-haiku-4-5-20251001,wallet,bad,13,2
claude-haiku-4-5-20251001,wallet,bad,14,2
claude-haiku-4-5-20251001,wallet,bad,15,6
claude-haiku-4-5-20251001,wallet,bad,16,2
claude-haiku-4-5-20251001,wallet,bad,17,6
claude-haiku-4-5-20251001,wallet,bad,18,1
claude-haiku-4-5-20251001,wallet,bad,19,2
claude-haiku-4-5-20251001,wallet,bad,20,7
claude-haiku-4-5-20251001,wallet,bad,21,6
claude-haiku-4-5-20251001,wallet,bad,22,2
claude-haiku-4-5-20251001,wallet,bad,23,7
claude-haiku-4-5-20251001,wallet,bad,24,2
claude-haiku-4-5-20251001,wallet,bad,25,2
claude-haiku-4-5-20251001,wallet,bad,26,2
claude-haiku-4-5-20251001,wallet,bad,27,2
claude-haiku-4-5-20251001,wallet,bad,28,2
claude-haiku-4-5-20251001,wallet,bad,29,2
claude-haiku-4-5-20251001,wallet,bad,30,6
claude-haiku-4-5-20251001,colleague,good,1,6
claude-haiku-4-5-20251001,colleague,good,2,6
claude-haiku-4-5-20251001,colleague,good,3,6
claude-haiku-4-5-20251001,colleague,good,4,6
claude-haiku-4-5-20251001,colleague,good,5,5
claude-haiku-4-5-20251001,colleague,good,6,6
claude-haiku-4-5-20251001,colleague,good,7,6
claude-haiku-4-5-20251001,colleague,good,8,6
claude-haiku-4-5-20251001,colleague,good,9,6
claude-haiku-4-5-20251001,colleague,good,10,6
claude-haiku-4-5-20251001,colleague,good,11,6
claude-haiku-4-5-20251001,colleague,good,12,6
claude-haiku-4-5-20251001,colleague,good,13,6
claude-haiku-4-5-20251001,colleague,good,14,6
claude-haiku-4-5-20251001,colleague,good,15,6
claude-haiku-4-5-20251001,colleague,good,16,6
claude-haiku-4-5-20251001,colleague,good,17,6
claude-haiku-4-5-20251001,colleague,good,18,6
claude-haiku-4-5-20251001,colleague,good,19,6
claude-haiku-4-5-20251001,colleague,good,20,6
claude-haiku-4-5-20251001,colleague,good,21,6
claude-haiku-4-5-20251001,colleague,good,22,6
claude-haiku-4-5-20251001,colleague,good,23,6
claude-haiku-4-5-20251001,colleague,good,24,6
claude-haiku-4-5-20251001,colleague,good,25,6
claude-haiku-4-5-20251001,colleague,good,26,6
claude-haiku-4-5-20251001,colleague,good,27,6
claude-haiku-4-5-20251001,colleague,good,28,5
claude-haiku-4-5-20251001,colleague,good,29,6
claude-haiku-4-5-20251001,colleague,good,30,6
claude-haiku-4-5-20251001,colleague,bad,1,6
claude-haiku-4-5-20251001,colleague,bad,2,6
claude-haiku-4-5-20251001,colleague,bad,3,2
claude-haiku-4-5-20251001,colleague,bad,4,2
claude-haiku-4-5-20251001,colleague,bad,5,2
claude-haiku-4-5-20251001,colleague,bad,6,6
claude-haiku-4-5-20251001,colleague,bad,7,1
claude-haiku-4-5-20251001,colleague,bad,8,6
claude-haiku-4-5-20251001,colleague,bad,9,1
claude-haiku-4-5-20251001,colleague,bad,10,6
claude-haiku-4-5-20251001,colleague,bad,11,6
claude-haiku-4-5-20251001,colleague,bad,12,1
claude-haiku-4-5-20251001,colleague,bad,13,6
claude-haiku-4-5-20251001,colleague,bad,14,1
claude-haiku-4-5-20251001,colleague,bad,15,1
claude-haiku-4-5-20251001,colleague,bad,16,1
claude-haiku-4-5-20251001,colleague,bad,17,1
claude-haiku-4-5-20251001,colleague,bad,18,1
claude-haiku-4-5-20251001,colleague,bad,19,1
claude-haiku-4-5-20251001,colleague,bad,20,1
claude-haiku-4-5-20251001,colleague,bad,21,6
claude-haiku-4-5-20251001,colleague,bad,22,6
claude-haiku-4-5-20251001,colleague,bad,23,1
claude-haiku-4-5-20251001,colleague,bad,24,2
claude-haiku-4-5-20251001,colleague,bad,25,6
claude-haiku-4-5-20251001,colleague,bad,26,6
claude-haiku-4-5-20251001,colleague,bad,27,6
claude-haiku-4-5-20251001,colleague,bad,28,6
claude-haiku-4-5-20251001,colleague,bad,29,6
claude-haiku-4-5-20251001,colleague,bad,30,6
claude-haiku-4-5-20251001,neighbour,good,1,6
claude-haiku-4-5-20251001,neighbour,good,2,6
claude-haiku-4-5-20251001,neighbour,good,3,6
claude-haiku-4-5-20251001,neighbour,good,4,6
claude-haiku-4-5-20251001,neighbour,good,5,6
