scenario,condition,run,rating
wallet,good,1,6
wallet,good,2,6
wallet,good,3,6
wallet,good,4,6
wallet,good,5,6
wallet,good,6,6
wallet,good,7,6
wallet,good,8,6
wallet,good,9,5
wallet,good,10,6
wallet,good,11,6
wallet,good,12,6
wallet,good,13,6
wallet,good,14,6
wallet,good,15,6
wallet,good,16,6
wallet,good,17,6
wallet,good,18,6
wallet,good,19,6
wallet,good,20,5
wallet,good,21,6
wallet,good,22,6
wallet,good,23,6
wallet,good,24,6
wallet,good,25,6
wallet,good,26,6
wallet,good,27,6
wallet,good,28,6
wallet,good,29,6
wallet,good,30,6
wallet,bad,1,2
wallet,bad,2,6
wallet,bad,3,2
wallet,bad,4,2
wallet,bad,5,2
wallet,bad,6,2
wallet,bad,7,2
wallet,bad,8,2
wallet,bad,9,1
wallet,bad,10,2
wallet,bad,11,2
wallet,bad,12,1
wallet,bad,13,2
wallet,bad,14,2
wallet,bad,15,2
wallet,bad,16,2
wallet,bad,17,2
wallet,bad,18,6
wallet,bad,19,6
wallet,bad,20,2
wallet,bad,21,2
wallet,bad,22,2
wallet,bad,23,2
wallet,bad,24,2
wallet,bad,25,2
wallet,bad,26,6
wallet,bad,27,2
wallet,bad,28,6
wallet,bad,29,2
wallet,bad,30,2
colleague,good,1,6
colleague,good,2,6
colleague,good,3,6
colleague,good,4,6
colleague,good,5,6
colleague,good,6,6
colleague,good,7,6
colleague,good,8,6
colleague,good,9,6
colleague,good,10,6
colleague,good,11,6
colleague,good,12,6
colleague,good,13,6
colleague,good,14,6
colleague,good,15,6
colleague,good,16,6
colleague,good,17,6
colleague,good,18,6
colleague,good,19,6
colleague,good,20,6
colleague,good,21,6
colleague,good,22,6
colleague,good,23,5
colleague,good,24,6
colleague,good,25,6
colleague,good,26,6
colleague,good,27,6
colleague,good,28,6
colleague,good,29,6
colleague,good,30,6
colleague,bad,1,1
colleague,bad,2,6
colleague,bad,3,6
colleague,bad,4,6
colleague,bad,5,2
colleague,bad,6,1
colleague,bad,7,6
colleague,bad,8,2
colleague,bad,9,6
colleague,bad,10,6
colleague,bad,11,2
colleague,bad,12,6
colleague,bad,13,1
colleague,bad,14,6
colleague,bad,15,6
colleague,bad,16,6
colleague,bad,17,6
colleague,bad,18,6
colleague,bad,19,6
colleague,bad,20,2
colleague,bad,21,1
colleague,bad,22,1
colleague,bad,23,6
colleague,bad,24,1
colleague,bad,25,6
colleague,bad,26,2
colleague,bad,27,1
colleague,bad,28,2
colleague,bad,29,6
colleague,bad,30,2
neighbour,good,1,6
neighbour,good,2,6
neighbour,good,3,6
neighbour,good,4,6
neighbour,good,5,6
neighbour,good,6,6
neighbour,good,7,6
neighbour,good,8,6
neighbour,good,9,6
neighbour,good,10,6
neighbour,good,11,6
neighbour,good,12,6
neighbour,good,13,6
neighbour,good,14,6
neighbour,good,15,6
neighbour,good,16,6
neighbour,good,17,6
neighbour,good,18,6
neighbour,good,19,6
neighbour,good,20,6
neighbour,good,21,6
neighbour,good,22,6
neighbour,good,23,6
neighbour,good,24,6
neighbour,good,25,6
neighbour,good,26,6
neighbour,good,27,6
neighbour,good,28,6
neighbour,good,29,6
neighbour,good,30,6
neighbour,bad,1,2
neighbour,bad,2,2
neighbour,bad,3,2
neighbour,bad,4,2
neighbour,bad,5,2
neighbour,bad,6,2
neighbour,bad,7,2
neighbour,bad,8,2
neighbour,bad,9,2
neighbour,bad,10,2
neighbour,bad,11,2
neighbour,bad,12,2
neighbour,bad,13,2
neighbour,bad,14,2
neighbour,bad,15,6
neighbour,bad,16,5
neighbour,bad,17,2
neighbour,bad,18,2
neighbour,bad,19,6
neighbour,bad,20,2
neighbour,bad,21,2
neighbour,bad,22,2
neighbour,bad,23,6
neighbour,bad,24,2
neighbour,bad,25,3
neighbour,bad,26,5
neighbour,bad,27,2
neighbour,bad,28,2
neighbour,bad,29,6
neighbour,bad,30,2
